,event,mid,time,content,$new_sentiment_pre,content4dl
553543845666095105,charliehebdo,553543845666095105,1420810111.0,@haaretzcom may be double check this tweet,1,@USER may be double check this tweet
552835790766481408,charliehebdo,552835790766481408,1420641298.0,"@cnnbrk All newspapers Tomorrow's edition shd print same cartoon on front page.
@WSJ @Reuters @CNN @washingtonpost 
#parisattack #paris",1,"@USER All newspapers Tomorrows edition shd print same cartoon on front page
@USER @USER @USER @USER 
parisattack paris"
553125058039001088,charliehebdo,553125058039001088,1420710265.0,"@WSJ CIA e Mossad usavano mafie,B.R.,nazisti..oggi usano l'islam per affermare il $. http://t.co/ZrNgoQ6y17",1,@USER CIA e Mossad usavano mafieBRnazistioggi usano lislam per affermare il  HTTPURL
553549258302160896,charliehebdo,553549258302160896,1420811402.0,"RT @koertdebeuf: IS laat graag zien wanneer zij een aanslag plegen. Altijd met vlag. In geval van Parijs, niets.",1,RT @USER IS laat graag zien wanneer zij een aanslag plegen Altijd met vlag In geval van Parijs niets
552821482855071745,charliehebdo,552821482855071745,1420637887.0,"@BBCWorld This wasn't a 5 minute attack. In Central Paris,and the police didn't even show up. Attackers didn't even use a get away driver.",0,@USER This wasnt aminute attack In Central Parisand the police didnt even show up Attackers didnt even use a get away driver
553587225901154304,charliehebdo,553587225901154304,1420820454.0,"The two suspected #CharlieHebdo gunmen have been killed, according to reports. #ParisAttacks http://t.co/sS4Js4JZwm http://t.co/04KSGEeu5i",1,The two suspected CharlieHebdo gunmen have been killed according to reports ParisAttacks HTTPURL HTTPURL
553497614620971011,charliehebdo,553497614620971011,1420799089.0,"@nytimes 
We should be expecting Donald Trump .
To be in the White House 2016 .",1,"@USER 
We should be expecting Donald Trump 
To be in the White House"
553537223745101825,charliehebdo,553537223745101825,1420808533.0,@MailOnline @richardcalhoun what did people think would happen if they filled their countries up with muslims SAVEEUROPEVOTEUKIP,0,@USER @USER what did people think would happen if they filled their countries up with muslims SAVEEUROPEVOTEUKIP
553588524725719041,charliehebdo,553588524725719041,1420820764.0,@ABC wtf we kare,1,@USER wtf we kare
553557141802340353,charliehebdo,553557141802340353,1420813281.0,@cnnbrk don't forgive them,1,@USER dont forgive them
554247300738854912,charliehebdo,554247300738854912,1420977828.0,@SkyNewsBreak  really sad situation,0,@USER  really sad situation
552797465171079168,charliehebdo,552797465171079168,1420632160.0,@LibyaLiberty @stupidusmaximus http://t.co/8hLEvMs86g Video of the attack.,1,@USER @USER HTTPURL Video of the attack
553564476331786240,charliehebdo,553564476331786240,1420815030.0,@therealteranko being revised. lol. @tnsteve1 @yurybarmin,0,@USER being revised lol @USER @USER
552806661149425664,charliehebdo,552806661149425664,1420634353.0,@Neilinbrum @RajaChemayel @cpjskippy @Independent I'm too busy laughing to care.,0,@USER @USER @USER @USER Im too busy laughing to care
553136208696836096,charliehebdo,553136208696836096,1420712923.0,@Hashmat_M The runner was lost as it was too large.,0,@USER The runner was lost as it was too large
553542093113950209,charliehebdo,553542093113950209,1420809693.0,"@SkyNews they blamed kenya instead of helping them and recalled their tourists,now they are receiving the same attacks #insecurityinfrance",0,@USER they blamed kenya instead of helping them and recalled their touristsnow they are receiving the same attacks insecurityinfrance
553577551403450368,charliehebdo,553577551403450368,1420818147.0,@SkyNews Can always rely on Sky News to wheel out a  procession of hard done-by Muslims during such incidents.,0,@USER Can always rely on Sky News to wheel out a  procession of hard doneby Muslims during such incidents
552826009066930176,charliehebdo,552826009066930176,1420638966.0,@Independent @carlzimmer This is where book burning leads.,0,@USER @USER This is where book burning leads
553616595273388032,charliehebdo,553616595273388032,1420827456.0,@Irenekenny4 @BBCBreakingwhy would my being a witness have any bearing?. Twitter is all about comment and yours is irrelevant. Grow up.,0,@USER @USER would my being a witness have any bearing Twitter is all about comment and yours is irrelevant Grow up
553073088863416320,charliehebdo,553073088863416320,1420697874.0,@Ironyisfunny8 @musulmanfrance i am Ahmed,1,@USER @USER i am Ahmed
553587810859757569,charliehebdo,553587810859757569,1420820593.0,@elespanolcom @AFP Qué El Español escriba en inglés no es un poco paradójico?,1,@USER @USER Qué El Español escriba en inglés no es un poco paradójico
552839935280300032,charliehebdo,552839935280300032,1420642286.0,@LoveSymbol23 @HuffPostUK this is terrible :( prayers for #Paris victims,0,@USER @USER this is terrible ( prayers for Paris victims
553533499643547648,charliehebdo,553533499643547648,1420807645.0,[Happening Now] Shooting and hostage situation at Kosher supermarket in eastern #Paris http://t.co/TszoK14DJH http://t.co/lAYTn6mfvs,1,[Happening Now] Shooting and hostage situation at Kosher supermarket in eastern Paris HTTPURL HTTPURL
553516582836928512,charliehebdo,553516582836928512,1420803611.0,"@CNN Why have these guys come out ""guns a blazing""? Cowardice displayed at the end?",0,"@USER Why have these guys come out ""guns a blazing"" Cowardice displayed at the end"
552825134739107840,charliehebdo,552825134739107840,1420638757.0,@jamiewrit @SkyZeLimit the shooter (without beige tactical vest) used his weapon as a kid... not sure of your comment,0,@USER @USER the shooter (without beige tactical vest) used his weapon as a kid not sure of your comment
553547977235922944,charliehebdo,553547977235922944,1420811096.0,"@TIME ""Breaking""...? Are you all on dial-up? Check with the A.P. @AP !!",0,"@USER ""Breaking"" Are you all on dialup Check with the AP @USER !!"
553592098197630976,charliehebdo,553592098197630976,1420821616.0,@DorothyLucey @SkyNews No newson the women hostage taker. All men (3) are shot dead and 2 Police officer injured.No exact number on hostages,0,@USER @USER No newson the women hostage taker All men (3) are shot dead andPolice officer injuredNo exact number on hostages
553531601838432257,charliehebdo,553531601838432257,1420807192.0,@SkyNewsBreak Does he have a script to take away more freedoms.,0,@USER Does he have a script to take away more freedoms
553149170786516992,charliehebdo,553149170786516992,1420716013.0,@jayanthkumarak  There are real bad guys. But on the whole people want to get along in peace. That doesn't suit some people's agenda...,1,@USER  There are real bad guys But on the whole people want to get along in peace That doesnt suit some peoples agenda
553507283108655104,charliehebdo,553507283108655104,1420801394.0,@BBCBreaking now put it on live tv news!!!!,1,@USER now put it on live tv news!!!!
552831590829928448,charliehebdo,552831590829928448,1420640297.0,@SkyNews 3 Muslim extremists. Why does the media never mention they are Muslim?,0,@USERMuslim extremists Why does the media never mention they are Muslim
552986937339158529,charliehebdo,552986937339158529,1420677334.0,@HuffPostCanada,1,@USER
553592267626520576,charliehebdo,553592267626520576,1420821656.0,@SkyNewsBreak 👏👍 well done 🇫🇷best way to deal with the scum,1,@USER clappinghandsthumbsup well done Francebest way to deal with the scum
553589180266074112,charliehebdo,553589180266074112,1420820920.0,"“@AP: #BREAKING: Police official: Suspects in Charlie Hebdo massacre killed, hostage freed.”",0,@USER BREAKING Police official Suspects in Charlie Hebdo massacre killed hostage freed
553545823066537985,charliehebdo,553545823066537985,1420810583.0,@Annabellvdb @Quickieleaks @rahafharfoush None of the IS supporters on Twitter have posted anything.,0,@USER @USER @USER None of the IS supporters on Twitter have posted anything
553138822272520193,charliehebdo,553138822272520193,1420713546.0,@Independent where's the blood?,1,@USER wheres the blood
552792351413133312,charliehebdo,552792351413133312,1420630941.0,“@guardian: Eleven dead in shooting at Paris offices of satirical magazine Charlie Hebdo  http://t.co/6D2Z9UEwnx” - just horrific,0,@USER Eleven dead in shooting at Paris offices of satirical magazine Charlie Hebdo  HTTPURL  just horrific
553588160869838848,charliehebdo,553588160869838848,1420820677.0,“@MailOnline: #CharlieHebdo gunmen reportedly killed in firefight with French special forces http://t.co/IJ2THzW8KB”,1,@USER CharlieHebdo gunmen reportedly killed in firefight with French special forces HTTPURL
553212936995762176,charliehebdo,553212936995762176,1420731217.0,"@independent fullstop for all 
Non #muslim",1,"@USER fullstop for all 
Non muslim"
553531754615566338,charliehebdo,553531754615566338,1420807229.0,"“@AFP: #BREAKING At least one injured in Paris kosher grocery shooting, hostage drama: sources”",0,@USER BREAKING At least one injured in Paris kosher grocery shooting hostage drama sources
553588028925804544,charliehebdo,553588028925804544,1420820645.0,“@DAVIDMDRAIMAN: .@cnni ITS A KOSHER JEWISH SUPERMARKET. THEY CHOSE IT FOR A REASON. YOU CONVENIENTLY LEFT THAT OUT #JeSuisJuif” &lt;too true!,0,@USER @USER ITS A KOSHER JEWISH SUPERMARKET THEY CHOSE IT FOR A REASON YOU CONVENIENTLY LEFT THAT OUT JeSuisJuif lttoo true!
553542057667878912,charliehebdo,553542057667878912,1420809685.0,"Wondering what they are waiting for to intervene?
“@AFP: #BREAKING At least two killed in hostage drama east of Paris: source”",1,"Wondering what they are waiting for to intervene
@USER BREAKING At least two killed in hostage drama east of Paris source"
553570627152408577,charliehebdo,553570627152408577,1420816497.0,@ATMology @twt_backpacker @AFPphoto @AFP @MartinBureau1 why? What happened there?,0,@USER @USER @USER @USER @USER why What happened there
552793551231541249,charliehebdo,552793551231541249,1420631227.0,Charlie Hebdo gunmen reportedly heard shouting: 'Prophet has been avenged' http://t.co/6Q9j9NkVO5 http://t.co/HxMmpdlA38,0,Charlie Hebdo gunmen reportedly heard shouting Prophet has been avenged HTTPURL HTTPURL
553537788164206592,charliehebdo,553537788164206592,1420808667.0,@SkyNews Come on France Stop Pussyfooting And Show The a What UR Capable Of !!,0,@USER Come on France Stop Pussyfooting And Show The a What UR Capable Of !!
553592108930850816,charliehebdo,553592108930850816,1420821618.0,@SkyNewsBreak good.,1,@USER good
553485024809742336,charliehebdo,553485024809742336,1420796087.0,“@Telegraph: Gendarmerie arrive at the hostage taking in Dammartin-en-Goele. Latest: http://t.co/ILSoNNL1s3 http://t.co/5eIyL4eIaJ”,1,@USER Gendarmerie arrive at the hostage taking in DammartinenGoele Latest HTTPURL HTTPURL
553547537630920705,charliehebdo,553547537630920705,1420810992.0,RT @AP: BREAKING: Police official: Hostage-taker at Paris market appears linked to newspaper attack suspects.,0,RT @USER BREAKING Police official Hostagetaker at Paris market appears linked to newspaper attack suspects
552832042564866049,charliehebdo,552832042564866049,1420640404.0,@Its_Notmyfault @NewbyBen @curdistani they said three people! Hopefully they will find them!,1,@USER @USER @USER they said three people! Hopefully they will find them!
553143558690328578,charliehebdo,553143558690328578,1420714675.0,Why would they advertise that?? @AJEnglish,0,Why would they advertise that @USER
553213257943879681,charliehebdo,553213257943879681,1420731293.0,@BreakingNews @AFP @MelissaBellF24 dang,1,@USER @USER @USER dang
553555359952932866,charliehebdo,553555359952932866,1420812857.0,"@BreakingNews @AP At a ""Kosher"" market! Or are you Anti-Semitic?",0,"@USER @USER At a ""Kosher"" market! Or are you AntiSemitic"
553590710222327809,charliehebdo,553590710222327809,1420821285.0,@philwahba @fureousangel @AFP double tap em!,1,@USER @USER @USER double tap em!
552783667052167168,charliehebdo,552783667052167168,1420628871.0,"France: 10 people dead after shooting at HQ of satirical weekly newspaper #CharlieHebdo, according to witnesses http://t.co/FkYxGmuS58",1,Francepeople dead after shooting at HQ of satirical weekly newspaper CharlieHebdo according to witnesses HTTPURL
552830684021424128,charliehebdo,552830684021424128,1420640080.0,Update - Police say 3 gunmen on the loose after 12 people were killed when HQ of satirical publication #CharlieHebdo was attacked in #Paris,1,Update  Police saygunmen on the loose afterpeople were killed when HQ of satirical publication CharlieHebdo was attacked in Paris
552813594744999936,charliehebdo,552813594744999936,1420636006.0,"@MailOnline After the 1962 Cuban Missile Crisis, then came: http://t.co/sh5mFenFTK … and http://t.co/K120Lr0lUN …",1,@USER After theCuban Missile Crisis then came HTTPURL … and HTTPURL …
553522929825484800,charliehebdo,553522929825484800,1420805125.0,@SkyNewsBreak how come perpetrators leave Id at scene of crime,0,@USER how come perpetrators leave Id at scene of crime
553507176460062720,charliehebdo,553507176460062720,1420801369.0,@RobNisbetSky @SkyNews Nah its still a field. They can land pretty much anywhere,1,@USER @USER Nah its still a field They can land pretty much anywhere
552816230378532865,charliehebdo,552816230378532865,1420636634.0,@RT_com attacking unarmed people with automatic weapons. How brave there were!,1,@USER attacking unarmed people with automatic weapons How brave there were!
553157525269278721,charliehebdo,553157525269278721,1420718005.0,@SimonSttj @georgejrockett @BBCBreaking word Muslim in any crime then non-Muslim not identify his religion?,0,@USER @USER @USER word Muslim in any crime then nonMuslim not identify his religion
553529199105818624,charliehebdo,553529199105818624,1420806619.0,RT @AFP #BREAKING Armed man takes hostage in kosher grocery in Paris: source,1,RT @USER BREAKING Armed man takes hostage in kosher grocery in Paris source
553555141731700737,charliehebdo,553555141731700737,1420812805.0,@RT_com @Furiousnurse When will countries &amp; the decent Ppl w/in realize MOSLEMS all follow Koran. Which means our death. Deport the bastards,0,@USER @USER When will countries amp the decent Ppl win realize MOSLEMS all follow Koran Which means our death Deport the bastards
552795050502270976,charliehebdo,552795050502270976,1420631585.0,#CharlieHebdo - 11 dead including 2 police in Paris shooting by @MartinBureau1 #AFP http://t.co/T8HpVdpjjN,1,CharlieHebdo dead includingpolice in Paris shooting by @USER AFP HTTPURL
553619249726357505,charliehebdo,553619249726357505,1420828089.0,"@AFP @kevinator70 sobsad to hear about this , been watching from here. Glad to know you are still kicking strong. : )",1,@USER @USER sobsad to hear about this  been watching from here Glad to know you are still kicking strong  )
553536397731442688,charliehebdo,553536397731442688,1420808336.0,MORE: At least 5 hostages are reported held by gunman in eastern Paris kosher grocery store http://t.co/cI8cztQjE6 http://t.co/sdCcVi7dcf,0,MORE At leasthostages are reported held by gunman in eastern Paris kosher grocery store HTTPURL HTTPURL
553544191402602496,charliehebdo,553544191402602496,1420810194.0,@haaretzcom Supermarket?,1,@USER Supermarket
552831881847533568,charliehebdo,552831881847533568,1420640366.0,"Three attackers being hunted for assault on French magazine #CharlieHebdo, French interior minister says http://t.co/F7ZB9JXIfe",0,Three attackers being hunted for assault on French magazine CharlieHebdo French interior minister says HTTPURL
552810702990475265,charliehebdo,552810702990475265,1420635316.0,@RT_com sure they did,1,@USER sure they did
552907965091815425,charliehebdo,552907965091815425,1420658506.0,@SusanSangster @SkyNewsBreak no it's time for Islamic extremist being stopped from murdering westerners !,0,@USER @USER no its time for Islamic extremist being stopped from murdering westerners !
553130486160441344,charliehebdo,553130486160441344,1420711559.0,"@WSJ @senko справа - Навальный, переборщивший автозагаром.. Так вот зачем он браслет снял!!",1,@USER @USER справа  Навальный переборщивший автозагаром Так вот зачем он браслет снял!!
553462823498416128,charliehebdo,553462823498416128,1420790794.0,@BBCWorld 我非常痛恨穆斯林极端分子,1,@USER 我非常痛恨穆斯林极端分子
553530067549442048,charliehebdo,553530067549442048,1420806826.0,“@SkyNews: Gunman Takes Hostage In Paris Shop - Report http://t.co/cKD5m4rHWi”,0,@USER Gunman Takes Hostage In Paris Shop  Report HTTPURL
553562312381333504,charliehebdo,553562312381333504,1420814514.0,@dandrezner probably worried about copycats or other affiliated perpetrators (lots of ppl. Getting ready for Shabbat),0,@USER probably worried about copycats or other affiliated perpetrators (lots of ppl Getting ready for Shabbat)
553588804981096449,charliehebdo,553588804981096449,1420820830.0,@SunNewsdesk @TheSunNewspaper RESULT!!!!!!!!!!!!!!!!!!!!!!!!!,1,@USER @USER RESULT!!!!!!!!!!!!!!!!!!!!!!!!!
553587243085209602,charliehebdo,553587243085209602,1420820458.0,"@DAVIDMDRAIMAN @marrty96 agreed, its convenient they forgot to mention that detail.",0,@USER @USER agreed its convenient they forgot to mention that detail
553183912323989505,charliehebdo,553183912323989505,1420724297.0,@iBinThaleth @georgen1967 Another police officer gives his life in the service of his community..... no matter which country they serve in.,1,@USER @USER Another police officer gives his life in the service of his community no matter which country they serve in
552792048173334528,charliehebdo,552792048173334528,1420630869.0,@cnni prayers being sent,1,@USER prayers being sent
552845068009472000,charliehebdo,552845068009472000,1420643510.0,"@daphneedenis @MichaelSkolnik And despite the editor, who was present and appears to have died, being under police protection. Hmm.",0,@USER @USER And despite the editor who was present and appears to have died being under police protection Hmm
552802376948920320,charliehebdo,552802376948920320,1420633331.0,@guardiannews Wild West Politics: Western Europe is suffering from its internal contradictions; welcome to the tribal politics of future.,1,@USER Wild West Politics Western Europe is suffering from its internal contradictions welcome to the tribal politics of future
553495707244834817,charliehebdo,553495707244834817,1420798634.0,"@WSJ please take them alive, within an inch of life. Disable them. But keep them alive!",1,@USER please take them alive within an inch of life Disable them But keep them alive!
553590917517819906,charliehebdo,553590917517819906,1420821334.0,@PzFeed They wanted to die for their bs cause and now they have. We should have never allowed that to happen. Get info and let then rott,0,@USER They wanted to die for their bs cause and now they have We should have never allowed that to happen Get info and let then rott
553129724235771904,charliehebdo,553129724235771904,1420711377.0,@thei100 the word shouldn't be #activists. It's #extremists. #CharlieHebdo,0,@USER the word shouldnt be activists Its extremists CharlieHebdo
553477522747572226,charliehebdo,553477522747572226,1420794299.0,"@RT_com @amazingatheist HOSTAGE? Fucking hell, when will they realize enough is enough?",0,@USER @USER HOSTAGE Fucking hell when will they realize enough is enough
552804885780262912,charliehebdo,552804885780262912,1420633930.0,@oxfordgirl @Alanlsg @cmcawley Anyone willing to discuss how truly offensive some of the material CH produced was? P.s I am Agnostic,0,@USER @USER @USER Anyone willing to discuss how truly offensive some of the material CH produced was Ps I am Agnostic
553470131297599488,charliehebdo,553470131297599488,1420792536.0,@Superconard1 Pas mal de suivi de suivi de l'affaire #CharlieHebdo depuis l'international.,1,@USER Pas mal de suivi de suivi de laffaire CharlieHebdo depuis linternational
553122237901832192,charliehebdo,553122237901832192,1420709592.0,@IamProudAtheist @Stariq7M You do know there are hundreds of thousads of muslims inside the police forces and military?,1,@USER @USER You do know there are hundreds of thousads of muslims inside the police forces and military
553546161353932800,charliehebdo,553546161353932800,1420810663.0,@ummahwitness @Annabellvdb @Quickieleaks agreed. I think we can agree this is untrue as of now.,1,@USER @USER @USER agreed I think we can agree this is untrue as of now
553519647400554497,charliehebdo,553519647400554497,1420804342.0,@AP http://t.co/s1eGeuX6OR,1,@USER HTTPURL
553585787728838656,charliehebdo,553585787728838656,1420820111.0,"@cnnbrk that's not news lol, think we all gathered that!",1,@USER thats not news lol think we all gathered that!
553557515737526273,charliehebdo,553557515737526273,1420813371.0,"@iankeithtom c'est juste une rumeur, ce n'est pas confirmé. Seulement des touristes auraient vu l'homme armée.",1,@USER cest juste une rumeur ce nest pas confirmé Seulement des touristes auraient vu lhomme armée
553470081779646465,charliehebdo,553470081779646465,1420792525.0,RT @AFP: #BREAKING Hostages taken north-east of Paris: police,1,RT @USER BREAKING Hostages taken northeast of Paris police
