,mid,pid,content,trigger_preds_tag,verify_preds_tag,cid
544298332005613569,544298332005613569,544297696308518912,@FoxNews Sending prayers.,0,2,544297696308518912
544298655336136704,544298655336136704,544297696308518912,@FoxNews Cover the damn story.,0,2,544297696308518912
544298844737916928,544298844737916928,544297696308518912,"“@FoxNews: UPDATE: 13 people being held hostage in #Sydney shop, Opera House evacuated after suspicious package found: reports Are you sure?",0,2,544297696308518912
544313083783421953,544313083783421953,544298844737916928,@syruspraka @FoxNews yep #SydneySiege,0,2,544297696308518912
544298894637940736,544298894637940736,544297696308518912,@FoxNews apparently the religion of peace is peacefully taking hostages for peaceful murder.,2,2,544297696308518912
544299197336678400,544299197336678400,544297696308518912,@FoxNewsLive @FoxNews @cnnbrk @cnni Get live in Sydney,1,2,544297696308518912
544299321811017729,544299321811017729,544297696308518912,@FoxNews why are you not airing the situation in Sydney ?,0,2,544297696308518912
544313211474804736,544313211474804736,544299321811017729,@MattCostigan @FoxNews my thoughts exactly !,0,2,544297696308518912
544299543899435008,544299543899435008,544297696308518912,"@FoxNews If this is being done by a terrorist group with ties to another foreign nation, that foreign nation needs to be blown up.",0,2,544297696308518912
544299940764479490,544299940764479490,544299543899435008,"@FoxNews We that respect freedom and property ownership (not the leftist by the way), need to make a final statement to these idiots",0,2,544297696308518912
544299651005181953,544299651005181953,544297696308518912,@FoxNews This would happen more often if it wasn't for the fine work from the CIA. #sydneysiege,0,2,544297696308518912
544300001568911360,544300001568911360,544297696308518912,@FoxNews While Bashar al-Assad was killing over 200000 people World Leaders just sat there twidling their thumbs. #lslamicVolcano #Eruption,0,2,544297696308518912
544300106212577280,544300106212577280,544297696308518912,"@FoxNews 
STL Dept. Of Corrections 
Off. ADAM JINKERSON
Active Member KKK
#OpKKK #HoodsOff
. http://t.co/tN6IkNogiR",2,2,544297696308518912
544300652479127552,544300652479127552,544297696308518912,"@FoxNews
Dept. Of Corrections
Officer DAVID PRICE
St Louis KKK member
#OpKKK #HoodsOff
. http://t.co/A7NXpkq1A7",0,2,544297696308518912
544300909035937793,544300909035937793,544297696308518912,@FoxNews Thanks Diane Feinstein and Obama for releasing our CIA report. Now ISIS is more bolden.,0,2,544297696308518912
544331064379203587,544331064379203587,544300909035937793,@kornegay_danna @FoxNews has nothing to do with what ISIS or Al Queda will do in the future. They laugh AMERICANS are such pussies &amp; whining,0,2,544297696308518912
544301353976467457,544301353976467457,544297696308518912,@FoxNews only just decided to air this have you?? Jeez,0,2,544297696308518912
544301597170233344,544301597170233344,544297696308518912,@FoxNews why is this not breaking news!!!!! Come on fox,0,2,544297696308518912
544378284763410432,544378284763410432,544377502563459072,@SBSNews haha so true!,0,1,544377502563459072
544378307572015104,544378307572015104,544377502563459072,@SBSNews no its for peoples safety you have no compassion,0,1,544377502563459072
544378564385054720,544378564385054720,544377502563459072,@SBSNews its great when illegal transport services do backflips,0,1,544377502563459072
544379609169403904,544379609169403904,544377502563459072,@SBSNews The decent thing to do!,0,1,544377502563459072
544383188424863745,544383188424863745,544377502563459072,@SBSNews how much are taxis charging?,0,1,544377502563459072
544389287110668289,544389287110668289,544377502563459072,@SBSNews Greed......,0,1,544377502563459072
544391241442410498,544391241442410498,544377502563459072,@SBSNews a case when bad #publicity is very bad publicity!!,0,1,544377502563459072
544399649155469312,544399649155469312,544377502563459072,"@SBSNews clickbait bullshit from SBS. Looks like they pulled the story, but the misleading Twitter and FB headlines remain. @ABCmediawatch",0,1,544377502563459072
544412820939366400,544412820939366400,544377502563459072,"@SBSNews 403 Error. Tried searching for it, where did this article go??",0,1,544377502563459072
544427908706471936,544427908706471936,544377502563459072,@SBSNews broken link?,0,1,544377502563459072
544491859821592576,544491859821592576,544377502563459072,“@SBSNews: Ultra capitalism backflip - #Uber rethinks fee hike amid #Sydneysiege http://t.co/05Ms8lcHpi http://t.co/WNUCzENYz2”,0,1,544377502563459072
544582066835587072,544582066835587072,544377502563459072,@SBSNews @Astorix23 Social media rocks!,0,1,544377502563459072
544584989514674176,544584989514674176,544582066835587072,@drjackiet yes it does!,0,1,544377502563459072
544622897872920577,544622897872920577,544377502563459072,@SBSNews AN ARTIST VIEW. http://t.co/HpckPiXjof #coloraod_art_project_news,0,1,544377502563459072
544623115813138434,544623115813138434,544377502563459072,“@SBSNews: Ultra capitalism backflip - #Uber rethinks fee hike amid #Sydneysiege http://t.co/05Ms8lcHpi http://t.co/WNUCzENYz2”,0,1,544377502563459072
544659177755648000,544659177755648000,544377502563459072,@SBSNews AN ARTIST WITH A VIEW. http://t.co/ji8Aau5uaQ,0,1,544377502563459072
544993104395124736,544993104395124736,544377502563459072,"@SBSNews Just encrypt it and decentralize it! More power to the people, no fees! #Uberkiller #Quicksilvercoin #QSLV http://t.co/DdkG2L03OZ",0,1,544377502563459072
544514773208301569,544514773208301569,544514645571420160,@gotravelyourway Postei vídeo novo! Podes ver e dizer o que achou? :) https://t.co/B4Fyug8aR1 …,0,1,544514645571420160
544515046466805760,544515046466805760,544514645571420160,"@gotravelyourway If this is correct, that is the best outcome IMO.  I hope those injured hostages are OK.",0,1,544514645571420160
544515657409523712,544515657409523712,544514645571420160,@gotravelyourway @NCL_Uncovered burn in hell!,0,1,544514645571420160
544517464223383553,544517464223383553,544514645571420160,"@gotravelyourway @quevega Best news of the day/week. Now you can meet up with your virgins, you shithouse.",0,1,544514645571420160
544517745497612288,544517745497612288,544514645571420160,“@gotravelyourway: Sydney gunman was shot by police and is confirmed dead #sydneysiege #SydneyHostageCrisis”. EXCELLENT NEWS BEST OUTCOME,0,1,544514645571420160
544519241399947264,544519241399947264,544514645571420160,@gotravelyourway @AlwaysACowboy where is your proof?? There's no confirmation of this. Stop spreading bullshit until it's confirmed!,2,1,544514645571420160
544526299046219776,544526299046219776,544519241399947264,"@ladyphen0m Gunman is dead. Believe it or not, I care not.

@gotravelyourway",0,1,544514645571420160
544526584024027137,544526584024027137,544526299046219776,@AlwaysACowboy @gotravelyourway oh I think he is too - but you're just as bad as the bullshit media if u print things without facts.,0,1,544514645571420160
544526928477048832,544526928477048832,544526584024027137,"@ladyphen0m Ok let's simplify things for you. Gunman has shot hostage, police enter, he fires at police, wounds one. You think he's alive?",0,1,544514645571420160
544624004443566080,544624004443566080,544526928477048832,Peter why do you waste time on these twits? @AlwaysACowboy @ladyphen0m &lt;- #stfu #gawn,0,1,544514645571420160
544648819573415936,544648819573415936,544624004443566080,@kfisme Well to be fair to me she ➡️@ladyphen0m jumped into my timeline. Obvioulsy wanted to make a name for herself but failed miserably. 😛,0,1,544514645571420160
544668008782626816,544668008782626816,544648819573415936,"@AlwaysACowboy @kfisme sadly, the point of my tweet, went over your head &amp; attempting to explain it to u is met with ignorance. #getaclue",0,1,544514645571420160
544680176148172800,544680176148172800,544648819573415936,That sort have to resort to that... @AlwaysACowboy @ladyphen0m,0,1,544514645571420160
544680899053228032,544680899053228032,544680176148172800,"@kfisme @AlwaysACowboy that ""sort""? You don't even know me.. How can u even make that judgement?",0,1,544514645571420160
544527016196714496,544527016196714496,544526299046219776,@AlwaysACowboy @gotravelyourway NOW THEY HAVE CONFIRMED IT.. Go for your life!,0,1,544514645571420160
544527340659699712,544527340659699712,544527016196714496,"@ladyphen0m What's it like being an overbearing idiot &amp; proven wrong? 
#Blocked

@gotravelyourway",0,1,544514645571420160
544527771699904513,544527771699904513,544527340659699712,@AlwaysACowboy um I never said u were wrong. I said don't create hysteria until it's confirmed. #moron,0,1,544514645571420160
544527267662028800,544527267662028800,544526299046219776,@AlwaysACowboy im not saying he wasn't. But there's a reason they don't confirm it. Especially if there were remote detonators..,2,1,544514645571420160
